hammasmätä	bátnemieskan	tannråte						caries
hammassärky	bátnevearka	tannverk, tannpine		bátnebávččas, bátnevárka				
hammastahna	bátnegealas							
hammasterveŧskasvatus	bátnedearvvasvuođačuvgehus			bátnedearvvasvuođabajásgeassin				
hammastikut	bátnesolonat							
hampaan juuri	bátnemátta							
hampaiden väli	bátnegaska			bátnehálsi				
hanke	fidnu			prošeakta				
hankintahinta	skáhpponhaddi							
hankintakulut	skáhppongolut							
hankintameno-olettama	skáhppongollonavddus							
hapan	suvrris (attr. suvrra)	sur						
hapanmaitotuotteet	suvrramielkebuktagat							
hapenpuute	oksygenaváili							
happamuus	suvrodat							
happi	oksygena							
happo	sivra	syre		suvri				acidum
happoa neutraloiva	suvrrehuhtti	syrenøytraliserende 						
happohyökkäys (suussa)	sivrafalleheapmi			njálmmisuvrun, suvrravuohkku				
harhaluulo	boasttogáddu			navdu, navdinčádjádus				
harhaluuloinen	navdálas							
harhaluuloisuushäiriö	navdinčádjádallan							
harkinnanvarainen	vihkkedallanvuloš			árvvoštallanvuđđosaš, -vuđot				
harmaakaihi	dieigi	grå stær		ránessmáiti				cataract
harrastustoiminta	buđaldusdoaibma			astoáiggedoaibma				
harsotaitos	suokkamáhcastat							
hartia	hárdu							
hartialihas	oalgedeahkki			oalgefáhkká				musculus deltoides
hartsi	gáhčči	harpiks		harpiksa				resina
haurastuminen	smierrun			smievrun				
hauislihas	oalgenorasváhkká			oalgenorasfáhkká				musculus biceps brachii
hautoa (ihoa)	hávdut t			gillásuvvat				
havainto	áicca							
havaintokyky	áicu			áicilvuohta				
hedelmä	šattus			heđen				
hedelmäkuitu	šattussáras							
hedelmöittää	sahkkehit	befrukte						
hedelmöityminen	sahkaneapmi							
hedelmöitys	sagahus 	befruktning		sahkkehus				
heijastin	šelggon							
heiketä (menettää voimansa)	hedjonit			áhpehuvvat				
heikko, voimaton	geahnoheapme							
heinänuha	suoidneallergiija	høysnue		"suoidnenuorvu"				
hematologia	hematologiija			varraoahppu, -oahppa				haematologia
hematooma	hematoma			varračollehat, sáhpadas				haematoma
hemofilia	hemofiliija			vardindávda				haemophilia
hemorroidit	hemorroiddat			bahtabuhkkot (sg. -buogu)				haemorrhoides
hengityksen vinkuminen	vuoiŋŋahatnjurgun							
hengitys	vuoigŋan							
hengityslääke	sisavuoigŋandálkkas	inhalasjonsmedisin						
hengityselimistö	vuoigŋanorganisma							
hengityselin	vuoigŋanorgána							
hengitystiehyt	vuoiŋŋahat	åndedrett		vuoigŋanoalli				
hengitystiesairaus	vuoiŋŋahatdávda							
hengitysvaikeus	lahppaseapmi	pustevansker		lahpastuvvan				
hengitysyhdistys	vuoigŋansearvi							
hengästyä	šieđđaluvvat	andpuste						
henkilökohtainen avustaja	persovnnalaš veahkki			pers. Veahkeheaddji				
henkilönumero	persovdnanummir							
henkilöstö	bargoveahka							
henkilöstöhallinto	bargoveahkahálddahus							
henkilötiedot	persovdnadieđut							
henkilötunnus	persovdnadovddaldat	personnummer		persovdnanummir				
henkitorventulehdus	giegirvuolši							
henkitorvi	giegir	luftrør						trachea
hepatiitti	hepatihtta			vuoivvašvuolši				hepatitis
hepatooma	hepatoma			vuoivvaššattalmas				hepatoma
hera, verihera, seerumi	varramissu	serum						serum
herkistymänuha	allergalaš njunnegolgan	allergisk rhinitt						rhinitis allergica
herkistyä	hearkut							
herkästi tarttuva (taudista)	njoammul							
hermafrodismi	hermafrodisma			guovttesohkabealátvuohta, guovtteráđálašvuohta				hermaphroditismus
hermo	nearva	nerve						nervus
hermokudos	nearvagodus							
hermosolmu	nearvačuolbma							ganglion
hermosolu	nearvasealla	neuron		neurona				neuron
hermosto	nearvvat			nearvafierbmi				systema nervosum
herne	earta							
herpes	herpes			dorpmus, dorpmohat				herpes
heräily	gulládaddan							
heteroseksuaalinen	heteroseksuála			nuppi sohkabeallái čuohcci				
hieroa	ruvvet	gni, massere		ruvvedit				
hiilidioksidi	čitnadioksiida	karbondioksyd		karbondioksiida				
hiilihydraatti	čitnahydráhtta	kullhydrat						
hiilimonoksidi, häkä	čitnamonoksida			heahkki				
hiivatulehdus	jeastavuolšun							
hikirauhanen	bivastatráksá							glandula sudorifera
hikka	njahkanas			njaggazas, njahkakas				
hilse	gatna	flass						
hilseilevä	gadnii 			njallalas				
hilseillä	njallat	flakne av		"ganastit"				
hilseinen	njallan			gadnái				
hilsetystauti	gahčahagat			gáittát				
hilsetystauti	vuoggaras							
hinkuyskä	sainnahat	kikhoste		saidnangosahat, sainnusgosahat				pertussis
hiuskarva	vuoktačalbmi	hodehår						capillus
hiuspohja	oaiveassi							tela subcutanea
hiusputki	vuoktabohcci							
hiussuoni	kapillárasuotna							capillaris
hivenaine	minerála	mineral						
hohkakivi	govdugeađgi							
hoitaa	dálkkodit	behandle		dálkut, dikšut				
hoitoala	dikšunsuorgi							
hoito- ja kuntoutussuunnitelma	dikšun- ja veajuiduhttinplána							
hoitotakuu	dikšundáhkádus							
hoitotakuujärjestelmä	dikšodáhkádusvuogádat							
hoitovapaa	dikšunfriddjavuohta			dikšunluopmu				
hoiva-ala	áittardansuorgi							
homealtistus	guohpabosttahallan			guohpafáhtehallan				
homeopatia	homeopatiija	homeopati		vátnadálkkasdikšu				homeopathia
homepöly	guohpagavja							
homofiili	homoseksuála							
homoseksuelli	njammáš:ž							
hormoni	hormona			sisvuožus				
hormonikorvaushoito	hormonaduddendikšu							
horros	adjágas							
huimaus	oaivejorggis	svimmelhet		oaivejorggástat				
h+A476uimauslääke	oaivejorggisdálkkas	svimmelhetsmedisin						
huimaustauti	vuorrandávda							
hukkunut	heavvanan 			čáhcejábmi,				
huojennettu	geahppuduvvon			ložžejuvvon				
huokoinen kudos	soktagođus			suossagođus,				
huolehtia	ávvira atnit (lok.)			fuolahit				
huoltaja	fuolaheaddji							
huonovointinen	illávejiid							
huulirasva	bavssavuoiddas	leppepomade						labium
hydrokortisoni	hydrokortisona			kortisola (lassemonimuččaid okta hormona)				
hypnoosi	hypnosa			suggerastimiin juksojuvvon adjágas				hypnosis
hypnootti	hypnohta			nagerdálkkas				hypnoticum
hypoksia	hypoksiija			oksygenavátni				hypoxia
hypofyysi	hypofysa			vuoiŋŋašráksá				hypophysis
hysteerinen	hysteralaš			cáicu, cáiccas, cáiccáskan				
hyvinvointi	buresveadju	O		buresbirgejupmi				
hyvinvointi (terveydellinen)	buresveadjin							
hyvinvointisairaus	buresbirgendávda			buresbirgejupmedávda				
hyvinvointivaltio	buresbirgenriika 							
hyvitys	buhtadus			soabahus, duddehus, duddestat				
hyväksikäyttö	ávkkástallan			ávkinatnin, ávkingeavaheapmi				
hyytymistä estävä	gillohuhtti	antikoagulasjons-						
hyytymä	varragillon 							
hyytyä, juoksettua, maksoittua	giellut	koagulere		gieluiduvvat, gillot, lohppet, smarret				
hyönteisenpisto	divreborahat	insektstikk						
hyötyeläin	ávkeealli							
hyötyliikunta	ávkelihkadeapmi							
häiriköinti	muosehuhttin							
häiriö	árru							
häkä	heahkki							
häkä	heahkki 							
hälytys	alárbma							
hälytyslaitteet	alárbmabiergasat							
häntäluu	golnneš							os coggygis
häpyhuulet	cinnábaksamat							
häpykarvasiehppačalbmi								
häpykarvatsiehppa				siehpat, vulogeažeguolggat				pubes
häpykielibunnu								clitoris
häpyliitoscahcanjuorggis								symphysis pubica
hätäehkäisy	heahteprevanšuvdna	nødprevensjon						
hätäkeskus	heahteguovddáš							
hätäuloskäytävä	heahtemanahat							
häätö	ádjin							
höpertyä	asehuvvat							
höpertää	asehuddat							
höyryhengitys	lievlavuoigŋan							
höyrylaite	lievlamašiidna	forstøveapparat		lievllistanahparahtta				
identtinen	identahalaš			ovttalágan, oktiidoallevaš, seammá				
ien	alŋŋis,-lgŋá:Ø	tannkjøtt		aldna, bátneoažži				gingiva
iensairaus	algŋavihki			aldnadávda, algŋaváddu				
ientulehdus	algŋavuolši							
ihanteellinen	ideála							
ihmisarvo	olmmošárvu							
ihmisarvoinen	olmmošárvosaš							
ihmisoikeus	olmmošvuoigatvuohta							
ihokarva	guolga	hår						capillus
ihomato	liikemáhtu	hudorm						
ihonalaiskudos, kesi	assi 			("liikkevuolgođus")				tela subcutanea
ihopahka, ihonalainen pahka	jieska							
ihopistokoe	liikečuggeniskkus							
ihottuma	ihttomat	utslett		ihtagat, ihtaluddamat, ihtamasat, ihtalanvihki				
ikäihminen	vuorasolmmoš			"ahkeolmmoš"				
ikäluokka	ahkeluohkká							
ikärakenne	ahkeráhkadat			ahkestruktuvra				
ikääntynyt	allaagat:g			vuorasman				
ikääntyä	vuorasmit			vuorasmuvvat, vuorasnuvvat, vuorastuvvat				
ilmaista (itseään)	ovdánbuktit							
ilmankostutin	áibmoláktadeaddji							
ilmapöhö	emfysema	emfysem						emphysema
ilmastointiputki (korvaan)	áibmobohcci (bealljái)							
ilmatiivis	áibmojeahkki			áibmodivttis,-ktá-#-divttes				
ilmavaivat	buoskkuheapmi	luftsmerter		áibmobákčasat, buskkohat				
ilmoittautumiskaavake	almmuhanskovvi			almmuhanskovádat				
ilmoittautumislomake	almmuhanskovádat			almmuhanskovvi				
ilmoituskortti	almmuhankoarta			almmuhankorte				
imbesilli	imbesilla			heaigomielat, vátnamielalaš				imbecillus
imeskelytabletti	njamadantablehtta	sugetablett						
imettää	njamahit	amme						
imetyssuoja	čižžeskuvdu	ammeinlegg						
imeytyä	njammásit							
immuniteetti	immunitehta			vuostálastinnákca				immunitas
immenkalvo	luondducuozza							hymen
impotentti	impoteanta			anašannávccaheapmi (olmmái)				
imppaus	susttašeapmi							
imuneste	lymfa							lympha
imusolmuke	lymfačuolbma			ráksá, lymfaráksá				glandula lymphacea
imusolmukesyöpä	lymfačuolbmaboras 							
imusuoni	lymfasuotna							
imuunikato	immunitehtaváili							
infarkti	infárkta			gođusjámalgeapmi (varraváni geažil)				infarctus
infektio	infekšuvdna			njoammun, njoammuvuolši				infectio
inflammaatio	inflammašuvdna	inflammasjon						inflammatio
influenssa	influensa	influensa						
infuusio, "tiputus"	infusiija			golgosaddin (njuolgga sutnii)				infusio
inhalaatio	inhalašuvdna			sisavuoigŋan, dálkkaslievlavuoigŋan				inhalatio
inhalaatiotekniikka, sisäänhengitystekniikka (lääkkettä otettaessa)	inhalašuvdnateknihkka			i.-tekniika				
inkontinenssisuoja, -side	inkontinensasuodji	inkontinentsbind						
inseminaatio	inseminašuvdna			sahkanahttin, dahkusahkaneapmi				inseminatio
insesti	inseasta			sohkarohcošeapmi				
insuliini	insuliidna			čolgaráksáhormona				
